,b,t,mono
1,GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP,GSE29618_MONOCYTE_VS_PDC_UP
2,GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP,GSE10325_CD4_TCELL_VS_MYELOID_UP,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP
3,GSE29618_BCELL_VS_MONOCYTE_UP,GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP,GSE29618_MONOCYTE_VS_MDC_UP
4,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP,GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP,GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP
5,GSE10325_BCELL_VS_MYELOID_UP,GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP,GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP
6,GSE29618_BCELL_VS_MDC_UP,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP,GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP
7,GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP,GSE10325_CD4_TCELL_VS_BCELL_UP,GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP
8,GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP,GSE22886_NAIVE_TCELL_VS_DC_UP,GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP
9,GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP,GSE22886_NAIVE_CD4_TCELL_VS_DC_UP,GSE11057_PBMC_VS_MEM_CD4_TCELL_UP
10,GSE29618_BCELL_VS_PDC_UP,GSE22886_TCELL_VS_BCELL_NAIVE_UP,GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP
11,GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE22886_NAIVE_CD8_TCELL_VS_DC_UP,GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP
12,GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP,GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP
13,GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP,GSE22886_NAIVE_TCELL_VS_NKCELL_UP,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP
14,GSE3982_BCELL_VS_NKCELL_UP,GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP,GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP
15,GSE22886_NAIVE_BCELL_VS_DC_UP,GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP
16,GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP,GSE11057_CD4_EFF_MEM_VS_PBMC_UP,GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP
17,GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE11057_CD4_CENT_MEM_VS_PBMC_UP,GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_UP
18,GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP,GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP
19,GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP,GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP
20,GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP,GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP,GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP
21,GO_IMMUNOGLOBULIN_PRODUCTION,GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
22,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP,GSE3982_NEUTROPHIL_VS_CENT_MEMORY_CD4_TCELL_UP
23,GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_UP,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP
24,GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY,GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP,GSE15767_MED_VS_SCS_MAC_LN_UP
25,GSE17580_UNINFECTED_VS_S_MANSONI_INF_TEFF_UP,GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_UP,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP
26,GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_UP,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_UP,GSE3982_NEUTROPHIL_VS_NKCELL_UP
27,GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP,GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_UP,GSE3982_DC_VS_TH1_UP
28,GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_UP,GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP
29,GSE12366_NAIVE_VS_MEMORY_BCELL_UP,GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP,GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP
30,GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP
31,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP,GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP
32,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP,GSE17721_0.5H_VS_24H_CPG_BMDC_UP
33,GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP
