,mono,pdc,cdc
1,GSE29618_MONOCYTE_VS_MDC_UP,GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP,GO_OXIDATIVE_PHOSPHORYLATION
2,GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP,GSE29618_PDC_VS_MDC_UP,GO_ELECTRON_TRANSPORT_CHAIN
3,GSE29618_MONOCYTE_VS_PDC_UP,GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_UP,GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP
4,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS
5,GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP,GSE10325_BCELL_VS_MYELOID_UP,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY
6,GSE11057_PBMC_VS_MEM_CD4_TCELL_UP,GSE29618_BCELL_VS_MONOCYTE_UP,GO_LYMPHOCYTE_COSTIMULATION
7,GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP,GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
8,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP,GSE29618_PRE_VS_DAY7_FLU_VACCINE_MDC_UP,GSE26351_UNSTIM_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP
9,GSE3982_NEUTROPHIL_VS_NKCELL_UP,GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP,GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP
10,GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP,GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP,GO_TRANSLATIONAL_TERMINATION
