,b,t
1,GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP,GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_UP
2,GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP
3,GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP,GSE22886_TCELL_VS_BCELL_NAIVE_UP
4,GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP,GSE10325_CD4_TCELL_VS_MYELOID_UP
5,GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP,GSE10325_CD4_TCELL_VS_BCELL_UP
6,GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP,GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP
7,GSE29618_BCELL_VS_PDC_UP,GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP
8,GSE29618_BCELL_VS_MONOCYTE_UP,GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP
9,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_2H_UP,KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP
10,GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP
11,GSE29618_BCELL_VS_MDC_UP,GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP
12,GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP,GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP
13,GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP,GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP
14,GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_UP,GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP
15,GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_UP,GSE22886_NAIVE_TCELL_VS_NKCELL_UP
16,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP
17,KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP,GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_UP
18,GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_UP
19,GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY,GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP
20,GO_IMMUNOGLOBULIN_PRODUCTION,GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP
